timestamp,T2,T3,T4
44:01.8,1.445302117,5.252092838,3.264245272
44:02.6,1.445302117,5.222746849,3.264245272
44:03.4,1.445302117,5.222746849,3.264245272
44:04.2,1.445302117,5.222746849,3.306529284
44:04.9,1.475919174,5.193401337,3.306529284
44:05.8,1.475919174,5.193401337,3.306529284
44:06.6,1.475919174,5.193401337,3.339266062
44:07.4,1.505699122,5.16079855,3.339266062
44:08.2,1.505699122,5.16079855,3.339266062
44:09.1,1.505699122,5.16079855,3.339266062
44:09.9,1.53526132,5.128195763,3.371987343
44:10.8,1.53526132,5.128195763,3.371987343
44:11.6,1.53526132,5.128195763,3.371987343
44:12.5,1.564606273,5.095592499,3.404692888
44:13.3,1.564606273,5.095592499,3.404692888
44:14.1,1.564606273,5.095592499,3.404692888
44:14.9,1.593734605,5.062989712,3.437382698
44:15.8,1.593734605,5.062989712,3.437382698
44:16.6,1.593734605,5.062989712,3.437382698
44:17.3,1.622646947,5.030386925,3.470056534
44:18.1,1.622646947,5.030386925,3.470056534
44:18.8,1.622646947,5.030386925,3.470056534
44:19.7,1.651343928,5.030386925,3.502714634
44:20.6,1.651343928,4.997784138,3.502714634
44:21.5,1.651343928,4.997784138,3.502714634
44:22.4,1.679826175,4.965181351,3.535356283
44:23.2,1.679826175,4.965181351,3.535356283
44:24.1,1.679826175,4.965181351,3.535356283
44:25.0,1.708094316,4.932578564,3.567981958
44:25.9,1.708094316,4.932578564,3.567981958
44:26.7,1.708094316,4.932578564,3.567981958
44:27.4,1.708094316,4.932578564,3.600591421
44:28.2,1.736148978,4.899975777,3.600591421
44:29.1,1.736148978,4.899975777,3.600591421
44:30.0,1.763990789,4.86737299,3.633184195
44:30.8,1.763990789,4.86737299,3.633184195
44:31.6,1.763990789,4.86737299,3.665760517
44:32.5,1.791620377,4.834769726,3.665760517
44:33.3,1.791620377,4.834769726,3.665760517
44:34.1,1.791620377,4.834769726,3.665760517
44:34.9,1.819038371,4.802166939,3.698320389
44:35.8,1.819038371,4.802166939,3.698320389
44:36.7,1.819038371,4.802166939,3.728832245
44:37.5,1.846068961,4.771869183,3.728832245
44:38.3,1.846068961,4.771869183,3.728832245
44:39.2,1.846068961,4.771869183,3.728832245
44:40.0,1.872887865,4.741571426,3.759329081
44:40.8,1.872887865,4.741571426,3.759329081
44:41.6,1.872887865,4.741571426,3.759329081
44:42.4,1.902744397,4.711273193,3.789989233
44:43.3,1.902744397,4.711273193,3.789989233
44:44.1,1.902744397,4.711273193,3.789989233
44:45.0,1.932414601,4.680975437,3.820637703
44:45.8,1.932414601,4.680975437,3.820637703
44:46.7,1.932414601,4.680975437,3.820637703
44:47.6,1.961899051,4.650677681,3.851274729
44:48.4,1.961899051,4.650677681,3.851274729
44:49.1,1.961899051,4.650677681,3.851274729
44:50.1,1.991198325,4.620379925,3.881899834
44:51.0,1.991198325,4.620379925,3.881899834
44:51.9,1.991198325,4.620379925,3.881899834
44:52.7,2.020312998,4.590081692,3.912513256
44:53.6,2.020312998,4.590081692,3.912513256
44:54.4,2.020312998,4.590081692,3.912513256
44:55.2,2.049243646,4.590081692,3.943114519
44:56.1,2.049243646,4.559783936,3.943114519
44:56.9,2.049243646,4.559783936,3.943114519
44:57.8,2.049243646,4.559783936,3.9737041
44:58.6,2.077990843,4.529486179,3.9737041
44:59.4,2.077990843,4.529486179,3.9737041
45:00.2,2.077990843,4.529486179,4.004281521
45:01.1,2.10655516,4.499187946,4.004281521
45:01.9,2.10655516,4.499187946,4.004281521
45:02.7,2.134937255,4.499187946,4.034846306
45:03.6,2.134937255,4.46889019,4.034846306
45:04.4,2.134937255,4.46889019,4.034846306
45:05.2,2.163137811,4.46889019,4.06539917
45:06.0,2.163137811,4.438592434,4.06539917
45:06.9,2.163137811,4.438592434,4.06539917
45:07.8,2.189655737,4.409569263,4.091137409
45:08.6,2.189655737,4.409569263,4.091137409
45:09.4,2.189655737,4.409569263,4.091137409
45:10.1,2.189655737,4.409569263,4.091137409
45:11.0,2.215985319,4.380545616,4.116866589
45:11.7,2.215985319,4.380545616,4.116866589
45:12.6,2.215985319,4.380545616,4.116866589
45:13.5,2.242127152,4.351522446,4.142586231
45:14.3,2.242127152,4.351522446,4.142586231
45:15.1,2.242127152,4.351522446,4.142586231
45:16.0,2.268081832,4.322499275,4.168297291
45:16.9,2.268081832,4.322499275,4.168297291
45:17.7,2.268081832,4.322499275,4.168297291
45:18.4,2.268081832,4.322499275,4.168297291
45:19.3,2.293849959,4.293476105,4.193998814
45:20.1,2.293849959,4.293476105,4.193998814
45:21.0,2.293849959,4.293476105,4.193998814
45:21.8,2.319432131,4.293476105,4.219691277
45:22.7,2.319432131,4.264452934,4.219691277
45:23.6,2.319432131,4.264452934,4.219691277
45:24.4,2.34482895,4.235429764,4.245373726
45:25.3,2.34482895,4.235429764,4.245373726
45:26.0,2.34482895,4.235429764,4.245373726
45:26.8,2.34482895,4.235429764,4.271047115
45:27.7,2.370041019,4.206406593,4.271047115
45:28.6,2.370041019,4.206406593,4.271047115
45:29.4,2.370041019,4.206406593,4.296710491
45:30.2,2.395068943,4.177383423,4.296710491
45:31.0,2.395068943,4.177383423,4.296710491
45:31.8,2.395068943,4.177383423,4.296710491
45:32.6,2.419913327,4.148360252,4.32236433
45:33.4,2.419913327,4.148360252,4.32236433
45:34.2,2.419913327,4.148360252,4.32236433
45:35.1,2.440658244,4.119336605,4.347828865
45:36.0,2.440658244,4.119336605,4.347828865
45:36.8,2.440658244,4.119336605,4.347828865
45:37.6,2.440658244,4.119336605,4.373279572
45:38.5,2.461196775,4.090313435,4.373279572
45:39.4,2.461196775,4.090313435,4.373279572
45:40.2,2.461196775,4.090313435,4.405365467
45:41.0,2.48397206,4.059324741,4.405365467
45:41.8,2.48397206,4.059324741,4.405365467
45:42.6,2.48397206,4.059324741,4.405365467
45:43.6,2.506550145,4.028336048,4.437431812
45:44.4,2.506550145,4.028336048,4.437431812
45:45.3,2.506550145,4.028336048,4.469479084
45:46.2,2.5289318,3.997347355,4.469479084
45:47.0,2.5289318,3.997347355,4.469479084
45:47.8,2.5289318,3.997347355,4.469479084
45:48.6,2.551117788,3.966358662,4.501507759
45:49.5,2.551117788,3.966358662,4.501507759
45:50.3,2.551117788,3.966358662,4.501507759
45:51.1,2.573108873,3.93536973,4.533516884
45:52.0,2.573108873,3.93536973,4.533516884
45:52.8,2.573108873,3.93536973,4.533516884
45:53.7,2.594905821,3.904381037,4.565506458
45:54.5,2.594905821,3.904381037,4.565506458
45:55.4,2.594905821,3.904381037,4.459695816
45:56.4,2.646336209,3.873392344,4.459695816
45:57.2,2.646336209,3.873392344,4.459695816
45:58.0,2.646336209,3.873392344,4.353886604
45:58.8,2.697471483,3.84240365,4.353886604
45:59.6,2.697471483,3.84240365,4.353886604
46:00.4,2.697471483,3.84240365,4.353886604
46:01.3,2.748312315,3.811414719,4.248078823
46:02.1,2.748312315,3.811414719,4.248078823
46:02.9,2.748312315,3.811414719,4.248078823
46:03.8,2.79885938,3.780426025,4.142272472
46:04.6,2.79885938,3.780426025,4.142272472
46:05.5,2.79885938,3.780426025,4.142272472
46:06.3,2.849113351,3.749437332,4.036467075
46:07.2,2.849113351,3.749437332,4.036467075
46:07.9,2.849113351,3.749437332,4.036467075
46:08.8,2.899074903,3.718448639,3.930663586
46:09.7,2.899074903,3.718448639,3.930663586
46:10.4,2.899074903,3.718448639,3.930663586
46:11.3,2.94890379,3.692871332,3.841724873
46:12.2,2.94890379,3.692871332,3.841724873
46:12.9,2.94890379,3.692871332,3.841724873
46:13.8,2.998443329,3.667294025,3.752787352
46:14.6,2.998443329,3.667294025,3.752787352
46:15.4,2.998443329,3.667294025,3.752787352
46:16.2,3.047694204,3.641716957,3.663850546
46:17.0,3.047694204,3.641716957,3.663850546
46:17.8,3.047694204,3.641716957,3.663850546
46:18.6,3.096657099,3.61613965,3.574914694
46:19.4,3.096657099,3.61613965,3.574914694
46:20.3,3.096657099,3.61613965,3.574914694
46:21.1,3.096657099,3.61613965,3.574914694
46:21.9,3.145332699,3.590562344,3.485979795
46:22.8,3.145332699,3.590562344,3.485979795
46:23.7,3.145332699,3.590562344,3.485979795
46:24.6,3.193721693,3.564985037,3.397045851
46:25.5,3.193721693,3.564985037,3.397045851
46:26.3,3.193721693,3.564985037,3.397045851
46:27.0,3.241824771,3.539407969,3.308113098
46:27.8,3.241824771,3.539407969,3.308113098
46:28.7,3.241824771,3.539407969,3.308113098
46:29.5,3.289642627,3.513830662,3.219181061
46:30.4,3.289642627,3.513830662,3.219181061
46:31.3,3.289642627,3.513830662,3.219181061
46:32.1,3.337175955,3.513830662,3.130249977
46:32.9,3.337175955,3.488253355,3.130249977
46:33.8,3.337175955,3.488253355,3.130249977
46:34.6,3.337175955,3.488253355,3.041319847
46:35.4,3.384425453,3.462676048,3.041319847
46:36.3,3.384425453,3.462676048,3.041319847
46:37.0,3.431391821,3.43709898,2.952390909
46:37.9,3.431391821,3.43709898,2.952390909
46:38.8,3.431391821,3.43709898,2.952390909
46:39.6,3.478075761,3.411521673,2.863462687
46:40.5,3.478075761,3.411521673,2.863462687
46:41.2,3.478075761,3.411521673,2.863462687
46:41.9,3.478075761,3.411521673,2.863462687
46:42.8,3.52224963,3.388087273,2.784450054
46:43.6,3.52224963,3.388087273,2.784450054
46:44.4,3.52224963,3.388087273,2.784450054
46:45.2,3.534579759,3.388087273,2.843246937
46:46.0,3.534579759,3.364652634,2.843246937
46:46.8,3.534579759,3.364652634,2.843246937
46:47.6,3.534579759,3.364652634,2.901990891
46:48.4,3.546733806,3.341218233,2.901990891
46:49.2,3.546733806,3.341218233,2.901990891
46:50.0,3.546733806,3.341218233,2.901990891
46:50.8,3.558712564,3.317783833,2.960682154
46:51.6,3.558712564,3.317783833,2.960682154
46:52.4,3.558712564,3.317783833,2.960682154
46:53.2,3.558712564,3.317783833,3.019320726
46:54.1,3.570516829,3.294349432,3.019320726
46:54.9,3.570516829,3.294349432,3.019320726
46:55.7,3.570516829,3.294349432,3.019320726
46:56.6,3.582147398,3.270915031,3.077906132
46:57.4,3.582147398,3.270915031,3.077906132
46:58.2,3.582147398,3.270915031,3.136438608
46:59.0,3.593605072,3.247480392,3.136438608
46:59.9,3.593605072,3.247480392,3.136438608
47:00.6,3.593605072,3.247480392,3.136438608
47:01.5,3.60489065,3.224045992,3.194917917
47:02.3,3.60489065,3.224045992,3.194917917
47:03.1,3.60489065,3.224045992,3.194917917
47:04.0,3.616004937,3.200611591,3.253344059
47:04.9,3.616004937,3.200611591,3.253344059
47:05.7,3.616004937,3.200611591,3.253344059
47:06.5,3.616004937,3.200611591,3.253344059
47:07.3,3.626948737,3.177177191,3.311717033
