Timestamps,T1_LEVEL,T2_LEVEL,T0_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,Attack#01,Attack#02
2020-07-16 10:45:51.200969,0.32128829999999997,0.42657813514417064,0.6610675517667737,0,0,0,0,0,0,0,0,2.6883266120865226e-05,1,0,0,0.0,0,0.0,0,0,0,2.688326612086523e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:51.616147,0.32128829999999997,0.42595055923127667,0.6610675517667737,0,0,0,0,0,0,0,0,2.6879630958541516e-05,1,0,0,0.0,0,0.0,0,0,0,2.6879630958541516e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:51.980791,0.32128829999999997,0.4253230681793627,0.6610675517667737,0,0,0,0,0,0,0,0,2.658596499585523e-05,1,0,0,0.0,0,0.0,0,0,0,2.658596499585523e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:52.359159,0.32128829999999997,0.4247024326071287,0.6610675517667737,0,0,0,0,0,0,0,0,2.652285912003111e-05,1,0,0,0.0,0,0.0,0,0,0,2.652285912003111e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:52.904584,0.32128829999999997,0.4240832702088553,0.6610675517667737,0,0,0,0,0,0,0,0,2.6539286454308927e-05,1,0,0,0.0,0,0.0,0,0,0,2.6539286454308927e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:53.259812,0.32128829999999997,0.4234637243229784,0.6610675517667737,0,0,0,0,0,0,0,0,2.6490059212274317e-05,1,0,0,0.0,0,0.0,0,0,0,2.6490059212274317e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:53.650884,0.32128829999999997,0.42284532762155,0.6610675517667737,0,0,0,0,0,0,0,0,2.637641838509811e-05,1,0,0,0.0,0,0.0,0,0,0,2.637641838509811e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:54.089337,0.32128829999999997,0.42222958380632747,0.6610675517667737,0,0,0,0,0,0,0,0,2.645703183521363e-05,1,0,0,0.0,0,0.0,0,0,0,2.6457031835213625e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:54.610214,0.32128829999999997,0.42161195811189733,0.6610675517667737,0,0,0,0,0,0,0,0,2.637587601969245e-05,1,0,0,0.0,0,0.0,0,0,0,2.6375876019692446e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:54.914053,0.32128829999999997,0.42099622695791394,0.6610675517667737,0,0,0,0,0,0,0,0,2.6273178298135232e-05,1,0,0,0.0,0,0.0,0,0,0,2.627317829813523e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:55.369948,0.32128829999999997,0.4203828932290081,0.6610675517667737,0,0,0,0,0,0,0,0,2.6105537649576818e-05,1,0,0,0.0,0,0.0,0,0,0,2.6105537649576818e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:55.662252,0.32128829999999997,0.4197734729841476,0.6610675517667737,0,0,0,0,0,0,0,0,2.5952496992693576e-05,1,0,0,0.0,0,0.0,0,0,0,2.5952496992693573e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:56.118622,0.32128829999999997,0.419167625394095,0.6610675517667737,0,0,0,0,0,0,0,0,2.5653002575016545e-05,1,0,0,0.0,0,0.0,0,0,0,2.5653002575016548e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:56.451611,0.32128829999999997,0.41856876934598297,0.6610675517667737,0,0,0,0,0,0,0,0,2.551110005202656e-05,1,0,0,0.0,0,0.0,0,0,0,2.551110005202656e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:56.794347,0.32128829999999997,0.4179732259387161,0.6610675517667737,0,0,0,0,0,0,0,0,2.5457412274750218e-05,1,0,0,0.0,0,0.0,0,0,0,2.5457412274750218e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:57.143026,0.32128829999999997,0.41737893584478103,0.6610675517667737,0,0,0,0,0,0,0,0,2.533478469734522e-05,1,0,0,0.0,0,0.0,0,0,0,2.533478469734522e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:57.558069,0.32128829999999997,0.41678750842807766,0.6610675517667737,0,0,0,0,0,0,0,0,2.494851403015475e-05,1,0,0,0.0,0,0.0,0,0,0,2.494851403015475e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:58.145128,0.32128829999999997,0.41620509829987995,0.6610675517667737,0,0,0,0,0,0,0,0,2.4707115189678467e-05,1,0,0,0.0,0,0.0,0,0,0,2.4707115189678467e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:58.596476,0.32128829999999997,0.41562832350248646,0.6610675517667737,0,0,0,0,0,0,0,0,2.430184221566213e-05,1,0,0,0.0,0,0.0,0,0,0,2.430184221566213e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
